latency,retransmission,bandwidth,label
0.000019,0,12526266,wired
0.000026,0,12524238,wired
0.000017,0,12524730,wired
0.000017,0,12524730,wired
0.000020,0,12520524,wired
0.000407,15,12565303,wired
0.000199,0,12525751,wired
0.000102,7,12525506,wired
0.000014,0,12525446,wired
0.000050,7,9667956,wired
0.000016,0,12524836,wired
0.000023,0,12524730,wired
0.000015,0,12524878,wired
0.000018,0,12524790,wired
0.000220,8,12527461,wired
0.000015,0,12525305,wired
0.000015,1,12533091,wired
0.000016,0,11607185,wired
0.000017,0,12525479,wired
0.000018,0,12524778,wired
0.000018,0,9695556,wired
0.000017,0,12524912,wired
0.000019,0,12524312,wired
0.000014,0,12524988,wired
0.000015,0,12524772,wired
0.000014,0,12524790,wired
0.000016,0,12521064,wired
0.000015,0,12524730,wired
0.000015,0,12523446,wired
0.000022,0,5227530,wired
0.000000,0,0,wired
0.000018,0,7163970,wired
0.000016,0,12523284,wired
0.000018,0,12525120,wired
0.000014,0,12524790,wired
0.000015,0,12524730,wired
0.000015,0,12524310,wired
0.000014,0,12524844,wired
0.000014,0,12524568,wired
0.000023,0,12524790,wired
0.000022,0,9710910,wired
0.000018,0,12524790,wired
0.000208,0,12530466,wired
0.000145,0,12524106,wired
0.000027,0,12524898,wired
0.000013,0,12524790,wired
0.000014,0,12521283,wired
0.000014,0,12526356,wired
0.000014,0,12524832,wired
0.000021,0,3858534,wired
0.000016,0,8410814,wired
0.000017,0,10209900,wired
0.000016,0,12524730,wired
0.000014,0,12524730,wired
0.000015,0,12524610,wired
0.000015,0,12524610,wired
0.000015,0,12524670,wired
0.000015,0,12524790,wired
0.000015,0,12524535,wired
0.000015,0,12524523,wired
0.000015,0,12523980,wired
0.000030,0,9739815,wired
0.000023,0,12524730,wired
0.000028,0,12524554,wired
0.000015,0,12524850,wired
0.000017,0,12524850,wired
0.000017,0,12522792,wired
0.000027,0,12524730,wired
0.000028,0,2271906,wired
0.000019,0,1381818,wired
0.000015,0,12524790,wired
0.000017,0,9732386,wired
0.000026,0,12523386,wired
0.000016,0,12524850,wired
0.000015,0,12524730,wired
0.000015,0,12524730,wired
0.000109,0,11446872,wired
0.000000,0,0,wired
0.000000,0,0,wired
0.000018,0,1263290,wired
0.000013,0,12523818,wired
0.000013,0,12159920,wired
0.000013,0,12363406,wired
0.000013,0,12524608,wired
0.000013,0,12425214,wired
0.000013,0,12526236,wired
0.000013,0,12524610,wired
0.000015,0,12523476,wired
0.000096,1,12526478,wired
0.000109,0,12526407,wired
0.000018,0,12525774,wired
0.000015,0,12524974,wired
0.000025,0,11437743,wired
0.000025,0,12526395,wired
0.000028,0,12524974,wired
0.000021,0,12524730,wired
0.000016,0,12524892,wired
0.000231,0,12528583,wired
0.000040,0,12524129,wired
0.000017,0,884514,wired
0.000017,0,6262917,wired
0.000048,0,12530741,wired
0.000051,0,10106693,wired
0.000077,0,12524788,wired
0.000015,0,12524146,wired
0.000015,0,12524844,wired
0.000015,0,12524736,wired
0.000015,0,12524730,wired
0.000015,0,12523326,wired
0.000017,0,12453834,wired
0.000016,0,12591684,wired
0.000015,0,12524730,wired
