VIRT,CPU,RAM
537628,0.0,2.0
559304,37.5,2.3
569000,0.0,2.5
589560,0.0,2.8
615388,6.2,3.0
629128,0.0,3.2
642856,0.0,3.3
660016,62.5,3.6
674256,0.0,3.8
696576,0.0,3.9
716088,23.5,4.2
728392,0.0,4.4
741724,25.0,4.6
757128,0.0,4.8
765624,0.0,4.9
797588,50.0,5.2
809032,29.4,5.4
821700,0.0,5.5
833720,0.0,5.7
852292,52.9,5.9
876912,31.8,6.2
889520,52.9,6.3
898604,0.0,6.5
913760,0.0,6.7
933720,41.2,6.9
948024,0.0,7.1
968604,0.0,7.3
989140,68.8,7.6
1004452,0.0,7.8
1013704,0.0,7.9
1032484,50.0,8.2
1043816,5.9,8.3
1069696,0.0,8.5
1085364,35.3,8.8
1098576,0.0,8.9
1110148,0.0,9.1
1126544,11.8,9.3
1156180,27.8,9.6
1168692,0.0,9.8
1189056,64.7,10.1
1207556,82.4,10.3
1228836,0.0,10.5
1243244,0.0,10.7
1263880,58.8,11.0
1278404,0.0,11.2
1289040,0.0,11.3
1309772,76.5,11.6
1325324,0.0,11.7
1341908,0.0,11.9
1364184,50.0,12.2
1375932,31.2,12.4
1388452,0.0,12.5
1404028,37.5,12.7
1426616,0.0,12.9
1440220,0.0,13.1
1458424,18.8,13.4
1469044,0.0,13.5
1482860,0.0,13.7
1497708,11.8,13.9
1520972,31.2,14.1
1536952,31.2,14.3
1549568,0.0,14.5
1562892,5.6,14.7
1570736,43.8,14.8
1587844,25.0,15.0
1612436,0.0,15.2
1614664,0.0,15.2
1634744,17.6,15.5
1653632,0.0,15.8
1663424,0.0,15.9
1693892,56.2,16.2
1707984,0.0,16.4
1718220,0.0,16.6
1741932,68.8,16.9
1768780,52.6,17.1
1780280,0.0,17.3
1795860,18.8,17.5
1811188,0.0,17.7
1823048,0.0,17.9
1839904,33.3,18.1
1857988,0.0,18.2
1872228,0.0,18.4
1883808,0.0,18.6
1897220,0.0,18.8
1911496,0.0,18.9
1926452,25.0,19.1
1946452,0.0,19.3
1964172,0.0,19.6
1975356,0.0,19.7
1992156,37.5,19.9
2003016,0.0,20.1
2015964,0.0,20.2
2039828,0.0,20.5
2051292,0.0,20.6
2065804,10.0,20.8
2090728,0.0,21.2
2100504,0.0,21.3
2123200,0.0,21.5
2143304,29.4,21.8
2153652,0.0,21.9
2167636,0.0,22.1
2187012,43.8,22.3
2210796,25.0,22.6
2222976,0.0,22.7
2238028,12.5,22.9
2253300,17.6,23.1
2267176,0.0,23.3
2290736,18.8,23.5
2304852,0.0,23.7
2317172,0.0,23.9
2340700,50.0,24.2
2356028,0.0,24.4
2378876,0.0,24.6
2398688,50.0,24.9
2408984,0.0,25.0
2424116,0.0,25.2
2455004,41.2,25.6
2473656,82.4,25.8
2491576,0.0,26.1
2513700,0.0,26.3
2533240,29.4,26.5
2546764,12.5,26.7
2560748,0.0,26.9
2574780,0.0,27.1
2602940,26.7,27.4
2620836,0.0,27.6
2629360,0.0,27.7
2647932,25.0,28.0
2657920,0.0,28.1
2684052,0.0,28.4
2706280,29.4,28.7
2721096,18.8,28.9
2733828,0.0,29.0
2766236,37.5,29.4
2782548,29.4,29.6
2803960,37.5,29.9
2825232,0.0,30.2
2838804,0.0,30.4
2864216,0.0,30.6
2876504,0.0,30.8
2896736,31.2,31.0
2909620,27.8,31.2
2924352,0.0,31.4
2949272,16.7,31.6
2966284,62.5,31.9
2981388,0.0,32.1
2999180,6.2,32.3
3014352,0.0,32.5
3040340,25.0,32.8
3050928,0.0,32.9
3068208,0.0,33.1
3083000,0.0,33.3
3105452,50.0,33.6
3123936,6.2,33.8
3141980,6.2,34.0
3158108,0.0,34.3
3173440,31.2,34.5
3199740,0.0,34.7
3212788,0.0,34.9
3228616,0.0,35.1
3249188,37.5,35.4
3262108,0.0,35.6
3282736,0.0,35.7
3305532,33.3,36.0
3315732,0.0,36.2
3331412,0.0,36.4
3348096,37.5,36.6
3363332,0.0,36.8
3386052,0.0,37.0
3404040,50.0,37.2
3416912,0.0,37.4
3435480,0.0,37.7
3454484,18.8,37.8
3477880,50.0,38.1
3489724,0.0,38.3
3504852,0.0,38.5
3526544,35.3,38.8
3551444,6.2,39.0
3564752,0.0,39.2
3585772,18.8,39.5
3602820,0.0,39.8
3626044,0.0,40.0
3641564,18.8,40.2
3660956,58.8,40.4
3676376,81.2,40.6
3690768,0.0,40.8
3717432,0.0,41.1
3733592,18.8,41.3
3746628,35.3,41.5
3763844,62.5,41.7
3782824,0.0,41.9
3795664,47.1,42.0
3814612,50.0,42.3
3832068,0.0,42.6
3855304,0.0,42.8
3867152,12.5,42.9
3889356,0.0,43.2
3902236,0.0,43.4
3921684,18.8,43.7
3947000,31.2,43.9
3964840,0.0,44.1
3975008,0.0,44.3
3998952,37.5,44.6
4024372,43.8,44.9
4040008,23.5,45.1
4061728,0.0,45.3
4082356,75.0,45.6
4100444,88.2,45.8
4114248,100.0,46.0
4136600,21.1,46.3
4156528,100.0,46.5
4167880,100.0,46.6
4177992,94.4,46.7
4190056,100.0,46.9
4206232,94.1,47.1
4220672,94.7,47.3
4228688,88.2,47.4
4237616,88.9,47.5
4246848,100.0,47.7
4266600,100.0,47.8
4274428,100.0,47.9
4278972,88.2,48.0
4287452,100.0,48.1
4296516,100.0,48.2
4303356,100.0,48.3
4311992,100.0,48.4
4321736,97.1,48.5
4332676,95.0,48.7
4340128,87.5,48.8
4348944,87.5,48.9
4356196,100.0,49.0
4364964,100.0,49.1
4383872,100.0,49.3
4396036,100.0,49.4
4405696,100.0,49.5
4413724,84.2,49.6
4420252,100.0,49.7
4424744,100.0,49.8
4431124,100.0,49.9
4438436,85.7,50.0
4447252,100.0,50.1
4452936,100.0,50.2
4461112,93.8,50.3
4467304,100.0,50.4
4478336,100.0,50.5
4485624,100.0,50.6
4501820,100.0,50.7
4509268,100.0,50.8
4515132,75.0,50.9
4522412,100.0,51.0
4529924,100.0,51.1
4535540,94.4,51.1
4540400,100.0,51.2
4548992,100.0,51.3
